Gene ID	Old ID
UCDDS831_g651.t1	g651.t1
UCDDS831_g652.t1	g652.t1
UCDDS831_g653.t1	g653.t1
UCDDS831_g654.t1	g654.t1
UCDDS831_g655.t1	g655.t1
UCDDS831_g656.t1	g656.t1
UCDDS831_g657.t1	g657.t1
UCDDS831_g658.t1	g658.t1
UCDDS831_g659.t1	g659.t1
UCDDS831_g660.t1	g660.t1
UCDDS831_g661.t1	g661.t1
UCDDS831_g662.t1	g662.t1
UCDDS831_g663.t1	g663.t1
UCDDS831_g664.t1	g664.t1
UCDDS831_g665.t1	g665.t1
UCDDS831_g666.t1	g666.t1
UCDDS831_g667.t1	g667.t1
UCDDS831_g668.t1	g668.t1
UCDDS831_g669.t1	g669.t1
UCDDS831_g670.t1	g670.t1
UCDDS831_g671.t1	g671.t1
UCDDS831_g672.t1	g672.t1
UCDDS831_g673.t1	g673.t1
UCDDS831_g674.t1	g674.t1
UCDDS831_g675.t1	g675.t1
UCDDS831_g676.t1	g676.t1
UCDDS831_g677.t1	g677.t1
UCDDS831_g678.t1	g678.t1
UCDDS831_g679.t1	g679.t1
UCDDS831_g680.t1	g680.t1
UCDDS831_g681.t1	g681.t1
UCDDS831_g682.t1	g682.t1
UCDDS831_g683.t1	g683.t1
UCDDS831_g684.t1	g684.t1
UCDDS831_g685.t1	g685.t1
UCDDS831_g686.t1	g686.t1
UCDDS831_g687.t1	g687.t1
UCDDS831_g688.t1	g688.t1
UCDDS831_g689.t1	g689.t1
UCDDS831_g690.t1	g690.t1
UCDDS831_g691.t1	g691.t1
UCDDS831_g692.t1	g692.t1
UCDDS831_g693.t1	g693.t1
UCDDS831_g694.t1	g694.t1
UCDDS831_g695.t1	g695.t1
UCDDS831_g696.t1	g696.t1
UCDDS831_g697.t1	g697.t1
UCDDS831_g698.t1	g698.t1
UCDDS831_g699.t1	g699.t1
UCDDS831_g700.t1	g700.t1
UCDDS831_g701.t1	g701.t1
UCDDS831_g702.t1	g702.t1
UCDDS831_g703.t1	g703.t1
UCDDS831_g704.t1	g704.t1
UCDDS831_g705.t1	g705.t1
UCDDS831_g706.t1	g706.t1
UCDDS831_g707.t1	g707.t1
UCDDS831_g708.t1	g708.t1
UCDDS831_g709.t1	g709.t1
UCDDS831_g710.t1	g710.t1
UCDDS831_g711.t1	g711.t1
UCDDS831_g712.t1	g712.t1
UCDDS831_g713.t1	g713.t1
UCDDS831_g714.t1	g714.t1
UCDDS831_g715.t1	g715.t1
UCDDS831_g716.t1	g716.t1
UCDDS831_g717.t1	g717.t1
UCDDS831_g718.t1	g718.t1
UCDDS831_g719.t1	g719.t1
UCDDS831_g720.t1	g720.t1
UCDDS831_g721.t1	g721.t1
UCDDS831_g722.t1	g722.t1
UCDDS831_g723.t1	g723.t1
UCDDS831_g724.t1	g724.t1
UCDDS831_g725.t1	g725.t1
UCDDS831_g726.t1	g726.t1
UCDDS831_g727.t1	g727.t1
UCDDS831_g728.t1	g728.t1
UCDDS831_g729.t1	g729.t1
UCDDS831_g730.t1	g730.t1
UCDDS831_g731.t1	g731.t1
UCDDS831_g732.t1	g732.t1
UCDDS831_g733.t1	g733.t1
UCDDS831_g734.t1	g734.t1
